"Scientific_Name";"Duration";"Active_Growth_Period";"Foliage_Color";"pH_Min";"pH_Max";"Precip_Min";"Precip_Max";"Shade_Tolerance";"Temp_Min_F"
"Schoenoplectus tabernaemontani";"Perennial";"Spring, Summer, Fall";"Green";5,4;7,5;18;55;"Intolerant";-38
"Schoenoplectus torreyi";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Schwalbea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Schwalbea americana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scirpus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Scirpus ancistrochaetus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scirpus atrovirens";"Perennial";"Spring";"Dark Green";4;8;16;60;"Intolerant";-53
"Scirpus cyperinus";"Perennial";"Spring";"Green";4,8;7,2;40;60;"Intermediate";-33
"Scirpus expansus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scirpus georgianus";"Perennial";"Spring and Summer";"Dark Green";4,5;7;35;55;"Intermediate";-38
"Scirpus hattorianus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scirpus pendulus";"Perennial";"Spring and Summer";"Green";4,9;7;30;55;"Intolerant";-38
"Scirpus polyphyllus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleranthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Scleranthus annuus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Scleria minor";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria muehlenbergii";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria oligantha";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria pauciflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria pauciflora var. caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria pauciflora var. pauciflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria reticularis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria triglomerata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scleria verticillata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sclerochloa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sclerochloa dura";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sclerolepis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sclerolepis uniflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scrophularia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Scrophularia lanceolata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scrophularia marilandica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria elliptica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria elliptica var. elliptica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria galericulata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria incana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria incana var. incana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria integrifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria lateriflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria lateriflora var. lateriflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria nervosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria ovata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria ovata ssp. ovata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria ovata ssp. rugosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria ovata ssp. virginiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria parvula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria parvula var. missouriensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria parvula var. parvula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria saxatilis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Scutellaria serrata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Secale";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Secale cereale";"Annual";"Spring, Summer, Fall";"Green";4,5;8,2;8;50;"Intolerant";-33
"Securigera";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Securigera cretica";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Securigera varia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sedum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sedum acre";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sedum glaucophyllum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sedum sarmentosum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sedum ternatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Selaginella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Selaginella apoda";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Selaginella rupestris";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Senecio";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Senecio cineraria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Senecio vulgaris";"Annual, Biennial";"Spring and Summer";"Green";5;8,5;16;55;"Intolerant";47
"Senna";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Senna bauhinioides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Senna hebecarpa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Senna italica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Senna marilandica";"Perennial";"Spring and Summer";"Green";4;7;20;60;"Intermediate";-18
"Senna obtusifolia";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Senna occidentalis";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sericocarpus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sericocarpus asteroides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sericocarpus linifolius";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sesbania";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sesbania herbacea";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Seseli";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Seseli libanotis";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sesuvium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sesuvium maritimum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Setaria faberi";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria grisebachii";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria italica";"Annual";"Spring and Summer";"Green";5,3;6,9;25;60;"Intolerant";52
"Setaria magna";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria parviflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria pumila";"Annual";"Spring and Summer";"Green";5;7;25;60;"Intolerant";52
"Setaria pumila ssp. pumila";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria verticillata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria verticilliformis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria viridis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Setaria viridis var. viridis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sherardia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sherardia arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sibara";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sibara virginica";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sibbaldiopsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sibbaldiopsis tridentata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sicyos";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sicyos angulatus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sida";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sida cordata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sida hermaphrodita";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sida rhombifolia";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sida spinosa";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sideroxylon";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sideroxylon lycioides";"Perennial";"Spring, Summer, Fall";"Green";4;7;33;51;"Tolerant";-27
"Silene";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Silene antirrhina";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Silene armeria";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Silene caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene caroliniana ssp. pensylvanica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene conica";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Silene conoidea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Silene csereii";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene dichotoma";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Silene dioica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene drummondii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene drummondii var. drummondii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene latifolia";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene latifolia ssp. alba";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene nivea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene noctiflora";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Silene stellata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene virginica var. virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silene vulgaris";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silphium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Silphium asteriscus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silphium asteriscus var. asteriscus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silphium perfoliatum";"Perennial";"Summer";"Green";4,5;7,5;16;51;"Intermediate";-49
"Silphium perfoliatum var. connatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silphium perfoliatum var. perfoliatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silphium trifoliatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silphium trifoliatum var. trifoliatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Silybum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Silybum marianum";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Simsia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Simsia lagasceiformis";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sinapis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sinapis alba";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sinapis arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sinapis arvensis ssp. arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sisymbrium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sisymbrium altissimum";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sisymbrium loeselii";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sisymbrium officinale";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sisyrinchium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sisyrinchium angustifolium";"Perennial";"Spring and Summer";"Green";5;7;32;60;"Intermediate";-3
"Sisyrinchium atlanticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sisyrinchium fuscatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sisyrinchium mucronatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sium suave";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smallanthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Smallanthus uvedalius";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Smilax bona-nox";"Perennial";"Spring and Summer";"Green";4,5;8,5;20;60;"Tolerant";-18
"Smilax bona-nox var. bona-nox";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax ecirrhata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax glauca";"Perennial";"Spring and Summer";"Gray-Green";4,5;7,5;35;60;"Tolerant";-13
"Smilax herbacea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax laurifolia";"Perennial";"Spring and Summer";"Green";4;7;45;60;"Tolerant";-8
"Smilax pseudochina";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax pulverulenta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax rotundifolia";"Perennial";"Summer";"Green";5;7,5;32;60;"Intolerant";-33
"Smilax tamnoides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Smilax walteri";"Perennial";"Spring and Summer";"Green";4;7;40;60;"Tolerant";-8
"Solanum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Solanum adscendens";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum carolinense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum carolinense var. carolinense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum dulcamara";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum dulcamara var. dulcamara";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum elaeagnifolium";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum lycopersicum";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum lycopersicum var. lycopersicum";"Annual, Perennial";"Year Round";"Green";5,5;7;60;80;"Intermediate";32
"Solanum nigrum";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum physalifolium";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum ptycanthum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum rostratum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum torvum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum tuberosum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solanum virginianum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Solidago altissima";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago arguta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago arguta var. arguta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago arguta var. caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago arguta var. harrisii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago bicolor";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago caesia";"Perennial";"Spring and Summer";"Dark Green";5,5;7;32;50;"Intermediate";-28
"Solidago canadensis";"Perennial";"Spring and Summer";"Green";4,8;7,5;16;60;"Intolerant";-43
"Solidago canadensis var. gilvocanescens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago canadensis var. hargeri";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago curtisii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago erecta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago fistulosa";"Perennial";"Summer and Fall";"Dark Green";4,5;7;40;65;"Tolerant";7
"Solidago flexicaulis";"Perennial";"Spring, Summer, Fall";"Green";5,3;7;20;55;"Intermediate";-18
"Solidago gigantea";"Perennial";"Summer";"Green";4;8;14;50;"Intermediate";-33
"Solidago hispida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago hispida var. hispida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago juncea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago latissimifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago missouriensis";"Perennial";"Spring, Summer, Fall";"Green";5,5;7,5;12;35;"Intermediate";-38
"Solidago missouriensis var. fasciculata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago nemoralis";"Perennial";"Spring and Summer";"Green";6,5;7,5;15;45;"Intolerant";-33
"Solidago nemoralis var. nemoralis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago odora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago odora var. odora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago patula";"Perennial";"Summer";"Green";4,5;7;20;60;"Intermediate";-43
"Solidago patula var. patula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago puberula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago puberula var. puberula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago puberula var. pulverulenta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago roanensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago rugosa";"Perennial";"Spring and Summer";"Green";5;7,5;24;60;"Intermediate";-33
"Solidago rugosa ssp. aspera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago rugosa ssp. rugosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago rugosa ssp. rugosa var. rugosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago rugosa ssp. rugosa var. villosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago rupestris";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago sempervirens";"Perennial";"Spring and Summer";"Dark Green";5,5;7,5;35;60;"Intolerant";-13
"Solidago sempervirens var. mexicana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago sempervirens var. sempervirens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago simplex";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago simplex ssp. randii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago simplex ssp. randii var. racemosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago speciosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago speciosa var. speciosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago squarrosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago stricta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago uliginosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago uliginosa var. uliginosa";"Perennial";"Spring, Summer, Fall";"Green";4,5;5,7;36;55;"Intermediate";-23
"Solidago ulmifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Solidago ulmifolia var. ulmifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sonchus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sonchus arvensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sonchus arvensis ssp. arvensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sonchus arvensis ssp. uliginosus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sonchus asper";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sonchus oleraceus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sorbus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sorbus americana";"Perennial";"Spring and Summer";"Green";5,3;6,8;24;60;"Intermediate";-38
"Sorbus aucuparia";"Perennial";"Spring and Summer";"Green";5,5;7,5;28;60;"Intermediate";-33
"Sorghastrum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sorghastrum elliottii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sorghastrum nutans";"Perennial";"Summer and Fall";"Green";4,8;8;11;45;"Intolerant";-38
"Sorghum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sorghum bicolor";"Annual";"Summer and Fall";"Green";5,5;7,5;18;60;"Intolerant";47
"Sorghum bicolor ssp. bicolor";"Annual";"Summer and Fall";"Green";5,5;7,5;18;60;"Intolerant";47
"Sorghum halepense";"Perennial";"Summer and Fall";"Green";5;7;32;60;"Intolerant";-13
"Sparganium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sparganium americanum";"Perennial";"Spring";"Green";4,9;7,3;35;50;"Intermediate";-33
"Sparganium androcladum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sparganium emersum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sparganium eurycarpum";"Perennial";"Spring";"Green";5;8,5;10;50;"Intermediate";-33
"Spartina";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spartina alterniflora";"Perennial";"Spring and Summer";"Green";5,4;7;40;100;"Intolerant";-23
"Spartina ×caespitosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spartina cynosuroides";"Perennial";"Spring and Summer";"Green";5,8;7,5;40;60;"Intolerant";-3
"Spartina patens";"Perennial";"Spring and Summer";"Green";5,5;7,5;36;65;"Intolerant";-3
"Spartina pectinata";"Perennial";"Spring and Summer";"Green";6;8,5;14;35;"Intolerant";-38
"Spergula";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spergula arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Spergularia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spergularia rubra";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spergularia salina";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spermacoce";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spermacoce glabra";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spermolepis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spermolepis inermis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sphaeralcea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sphaeralcea angustifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sphagnum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sphagnum atlanticum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sphagnum compactum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sphenopholis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sphenopholis intermedia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sphenopholis nitida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sphenopholis obtusata";"Annual, Perennial";"Spring";"Green";5;7,5;10;60;"Intermediate";-43
"Sphenopholis pensylvanica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spigelia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spigelia marilandica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea alba";"Perennial";"Spring and Summer";"Green";4,3;6,8;18;55;"Intermediate";-33
"Spiraea alba var. alba";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea alba var. latifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea betulifolia";"Perennial";"Spring and Summer";"Green";6;7,5;14;24;"Tolerant";-38
"Spiraea betulifolia var. corymbosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea ×billiardii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea japonica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea japonica var. fortunei";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea prunifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea thunbergii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiraea tomentosa";"Perennial";"Spring and Summer";"Green";4,5;7;30;60;"Intolerant";-33
"Spiraea ×vanhouttei";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes cernua";"Perennial";"Spring and Summer";"Green";4,5;6,5;24;55;"Intolerant";-38
"Spiranthes lacera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes lacera var. gracilis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes lacera var. lacera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes laciniata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes lucida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes ochroleuca";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes odorata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes ovalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes ovalis var. erostellata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes praecox";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes tuberosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spiranthes vernalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Spirodela";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spirodela polyrrhiza";"Perennial";"Spring";"Green";5;8,6;12;55;"Intermediate";-38
"Sporobolus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus clandestinus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus compositus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus compositus var. compositus";"Perennial";"Spring and Summer";"Green";5,5;7;16;50;"Intolerant";-38
"Sporobolus heterolepis";"Perennial";"Spring and Summer";"Green";6;7,2;20;35;"Intermediate";-38
"Sporobolus indicus";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus indicus var. indicus";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus neglectus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus pyramidatus";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Sporobolus vaginiflorus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
